task_id,office_type,task_type,mode,model,seed,Q,TMS,prompt_tokens,completion_tokens,total_tokens,elapsed,llm_calls,error
t-DOC-L-01,document,low_coupling,single,deepseek-v4-flash,1,0.42,False,914,4097,5011,31.4,1,""
t-DOC-L-01,document,low_coupling,team,deepseek-v4-flash,1,0.92,True,3490,4294,7784,33.34,3,""
