task_id,office_type,task_type,model,seed,Q_single,Q_team,CTR,TR,team_token_overhead
t-CONTENT-H-03,content,high_coupling,kimi-k2.6,0,0.92,0.67,0.7283,2.2729,10849
t-CONTENT-H-03,content,high_coupling,kimi-k2.6,1,0.92,0.5669,0.6162,5.6969,15636
t-CONTENT-L-01,content,low_coupling,kimi-k2.6,0,0.8653,0.9122,1.0542,2.6436,8624
t-CONTENT-L-01,content,low_coupling,kimi-k2.6,1,0.7481,0.8653,1.1566,3.9533,11940
t-CONTENT-M-02,content,medium_coupling,kimi-k2.6,0,0.72,0.6658,0.9248,3.2409,10017
t-CONTENT-M-02,content,medium_coupling,kimi-k2.6,1,0.72,0.7971,1.1071,5.1233,11739
t-CROSS-H-03,cross_dept,high_coupling,kimi-k2.6,0,0.92,0.9066,0.9854,4.0641,21320
t-CROSS-H-03,cross_dept,high_coupling,kimi-k2.6,1,0.8843,0.92,1.0404,2.5515,15922
t-CROSS-L-01,cross_dept,low_coupling,kimi-k2.6,0,0.62,0.6096,0.9832,2.5490,7124
t-CROSS-L-01,cross_dept,low_coupling,kimi-k2.6,1,0.62,0.62,1.0000,2.8898,9865
t-CROSS-M-02,cross_dept,medium_coupling,kimi-k2.6,0,0.8089,0.6978,0.8626,2.3110,7306
t-CROSS-M-02,cross_dept,medium_coupling,kimi-k2.6,1,0.8054,0.7881,0.9784,1.8084,4119
t-DATA-H-03,data,high_coupling,kimi-k2.6,0,0.92,0.92,1.0000,1.9412,10310
t-DATA-H-03,data,high_coupling,kimi-k2.6,1,0.92,0.92,1.0000,3.6589,20157
t-DATA-L-01,data,low_coupling,kimi-k2.6,0,0.92,0.77,0.8370,1.1102,1372
t-DATA-L-01,data,low_coupling,kimi-k2.6,1,0.92,0.62,0.6739,1.3380,4134
t-DATA-M-02,data,medium_coupling,kimi-k2.6,0,0.82,0.9075,1.1067,3.0974,10923
t-DATA-M-02,data,medium_coupling,kimi-k2.6,1,0.9137,0.92,1.0068,2.9974,10133
t-DOC-H-03,document,high_coupling,kimi-k2.6,0,0.92,0.92,1.0000,3.4136,17786
t-DOC-H-03,document,high_coupling,kimi-k2.6,1,0.92,0.8843,0.9612,6.6875,22932
t-DOC-L-01,document,low_coupling,kimi-k2.6,0,0.92,0.92,1.0000,2.2535,8041
t-DOC-L-01,document,low_coupling,kimi-k2.6,1,0.92,0.92,1.0000,3.2653,11159
t-DOC-M-02,document,medium_coupling,kimi-k2.6,0,0.8575,0.7911,0.9226,3.4454,12819
t-DOC-M-02,document,medium_coupling,kimi-k2.6,1,0.8575,0.7169,0.8360,3.1363,12228
t-PROJ-H-03,project,high_coupling,kimi-k2.6,0,0.8825,0.8971,1.0165,2.2836,15641
t-PROJ-H-03,project,high_coupling,kimi-k2.6,1,0.9137,0.42,0.4596,2.5462,14482
t-PROJ-L-01,project,low_coupling,kimi-k2.6,0,0.62,0.5575,0.8992,1.6621,4605
t-PROJ-L-01,project,low_coupling,kimi-k2.6,1,0.62,0.5575,0.8992,2.2669,7842
t-PROJ-M-02,project,medium_coupling,kimi-k2.6,0,0.92,0.92,1.0000,3.3190,12961
t-PROJ-M-02,project,medium_coupling,kimi-k2.6,1,0.92,0.795,0.8641,2.7139,9339
