task_id,office_type,task_type,mode,model,seed,Q,TMS,prompt_tokens,completion_tokens,total_tokens,elapsed,llm_calls,error
t-DOC-L-01,document,low_coupling,single,deepseek-v4-flash,0,0.44,False,268,324,592,3.69,1,""
t-DOC-L-01,document,low_coupling,team,deepseek-v4-flash,0,0.44,False,1099,1955,3054,19.17,3,""
