task_id,office_type,task_type,mode,model,seed,Q,TMS,prompt_tokens,completion_tokens,total_tokens,cached_tokens,elapsed,llm_calls,error
t-CONTENT-H-03,content,high_coupling,single,kimi-k3,0,0.92,True,582,3608,4190,512,114.21,1,""
t-CONTENT-H-03,content,high_coupling,single,kimi-k3,1,0.92,True,582,4744,5326,512,326.5,1,""
t-CONTENT-L-01,content,low_coupling,single,kimi-k3,0,0.9122,True,530,5491,6021,0,157.52,1,""
t-CONTENT-L-01,content,low_coupling,single,kimi-k3,1,0.92,True,530,4947,5477,512,147.86,1,""
t-CONTENT-M-02,content,medium_coupling,single,kimi-k3,0,0.82,True,417,3369,3786,0,102.3,1,""
t-CONTENT-M-02,content,medium_coupling,single,kimi-k3,1,0.92,True,417,2770,3187,256,95.02,1,""
t-CROSS-H-03,cross_dept,high_coupling,single,kimi-k3,0,0.92,True,757,4943,5700,0,138.52,1,""
t-CROSS-H-03,cross_dept,high_coupling,single,kimi-k3,1,0.92,True,757,3959,4716,512,123.36,1,""
t-CROSS-L-01,cross_dept,low_coupling,single,kimi-k3,0,0.62,False,509,3146,3655,0,81.84,1,""
t-CROSS-L-01,cross_dept,low_coupling,single,kimi-k3,1,0.92,True,509,2502,3011,256,63.83,1,""
t-CROSS-M-02,cross_dept,medium_coupling,single,kimi-k3,0,0.861,True,541,1809,2350,0,52.59,1,""
t-CROSS-M-02,cross_dept,medium_coupling,single,kimi-k3,1,0.8436,True,541,2612,3153,512,75.61,1,""
t-DATA-H-03,data,high_coupling,single,kimi-k3,0,0.92,True,3552,1994,5546,0,64.65,1,""
t-DATA-H-03,data,high_coupling,single,kimi-k3,1,0.92,True,3552,3297,6849,3328,102.88,1,""
t-DATA-L-01,data,low_coupling,single,kimi-k3,0,0.92,True,2450,4423,6873,0,118.57,1,""
t-DATA-L-01,data,low_coupling,single,kimi-k3,1,0.92,True,2450,4343,6793,2304,295.86,1,""
t-DATA-M-02,data,medium_coupling,single,kimi-k3,0,0.8137,True,600,2077,2677,0,63.76,1,""
t-DATA-M-02,data,medium_coupling,single,kimi-k3,1,0.9137,True,600,1704,2304,512,58.96,1,""
t-DOC-H-03,document,high_coupling,single,kimi-k3,0,0.7771,True,681,4796,5477,0,147.93,1,""
t-DOC-H-03,document,high_coupling,single,kimi-k3,1,0.92,True,681,5686,6367,512,170.68,1,""
t-DOC-L-01,document,low_coupling,single,kimi-k3,0,0.92,True,938,4059,4997,0,103.28,1,""
t-DOC-L-01,document,low_coupling,single,kimi-k3,1,0.92,True,938,3141,4079,768,93.48,1,""
t-DOC-M-02,document,medium_coupling,single,kimi-k3,0,0.8575,True,454,2936,3390,0,106.68,1,""
t-DOC-M-02,document,medium_coupling,single,kimi-k3,1,0.8575,True,454,3034,3488,256,117.58,1,""
t-PROJ-H-03,project,high_coupling,single,kimi-k3,0,0.42,False,0,0,0,0,723.27,1,"Request timed out."
t-PROJ-H-03,project,high_coupling,single,kimi-k3,1,0.9137,True,1130,4359,5489,1024,319.38,1,""
t-PROJ-L-01,project,low_coupling,single,kimi-k3,0,0.5471,False,980,1696,2676,0,62.45,1,""
t-PROJ-L-01,project,low_coupling,single,kimi-k3,1,0.6096,False,980,2576,3556,768,88.36,1,""
t-PROJ-M-02,project,medium_coupling,single,kimi-k3,0,0.92,True,1320,2380,3700,0,72.52,1,""
t-PROJ-M-02,project,medium_coupling,single,kimi-k3,1,0.92,True,1320,4014,5334,1280,121.91,1,""
t-CONTENT-H-03,content,high_coupling,team,kimi-k3,0,0.7137,True,9238,12319,21557,4352,390.65,4,""
t-CONTENT-H-03,content,high_coupling,team,kimi-k3,1,0.72,True,12115,11988,24103,2560,420.16,4,""
t-CONTENT-L-01,content,low_coupling,team,kimi-k3,0,0.9122,True,4030,8387,12417,256,240.7,3,""
t-CONTENT-L-01,content,low_coupling,team,kimi-k3,1,0.92,True,5074,7559,12633,0,238.06,3,""
t-CONTENT-M-02,content,medium_coupling,team,kimi-k3,0,0.9137,True,3952,9123,13075,1280,323.95,3,""
t-CONTENT-M-02,content,medium_coupling,team,kimi-k3,1,0.9137,True,3123,6486,9609,0,208.18,3,""
t-CROSS-H-03,cross_dept,high_coupling,team,kimi-k3,0,0.92,True,9883,13843,23726,4608,970.43,4,""
t-CROSS-H-03,cross_dept,high_coupling,team,kimi-k3,1,0.92,True,9366,12999,22365,4608,754.4,4,""
t-CROSS-L-01,cross_dept,low_coupling,team,kimi-k3,0,0.62,False,2270,1897,4167,0,57.61,3,""
t-CROSS-L-01,cross_dept,low_coupling,team,kimi-k3,1,0.62,False,3001,2558,5559,256,86.05,3,""
t-CROSS-M-02,cross_dept,medium_coupling,team,kimi-k3,0,0.7846,True,3207,4198,7405,256,143.73,3,""
t-CROSS-M-02,cross_dept,medium_coupling,team,kimi-k3,1,0.7325,True,4734,6976,11710,1536,206.58,3,""
t-DATA-H-03,data,high_coupling,team,kimi-k3,0,0.92,True,12565,6268,18833,6656,169.52,3,""
t-DATA-H-03,data,high_coupling,team,kimi-k3,1,0.92,True,12559,9485,22044,7424,274.15,3,""
t-DATA-L-01,data,low_coupling,team,kimi-k3,0,0.62,False,4932,2753,7685,2304,71.56,2,""
t-DATA-L-01,data,low_coupling,team,kimi-k3,1,0.62,False,5166,4011,9177,4608,95.13,2,""
t-DATA-M-02,data,medium_coupling,team,kimi-k3,0,0.9137,True,4377,5267,9644,0,139.05,3,""
t-DATA-M-02,data,medium_coupling,team,kimi-k3,1,0.9075,True,4442,4850,9292,768,132.56,3,""
t-DOC-H-03,document,high_coupling,team,kimi-k3,0,0.92,True,10449,15706,26155,3584,437.8,4,""
t-DOC-H-03,document,high_coupling,team,kimi-k3,1,0.9155,True,12875,14262,27137,0,427.21,4,""
